question_id,text,x_corr,y_corr,question_number,question_page,question_text,question_file
0625_s16_qp_21_01,"1  The diagram shows an enlarged drawing of the end of a metre rule. It is being used to measure 
",49.60629,75.23254640000005,1,2,"The diagram shows an enlarged drawing of the end of a metre rule. It is being used to measure the length of a small feather.  
1mmcm 2310 20 30
  What is the length of the feather? A 19
 mm B 29  mm C 19  cm D 29  cm ",0625_s16_qp_21
0625_s16_qp_21_02,"2  The speed-time graph shown is for a car moving in a straight line. 
 
",49.60699279999994,350.05250539200006,2,2,"The speed-time graph shown is for a car moving in a straight line.  
1510500 2 04 06 08 0 time
 / sspeedm / s
  What is the acceleration of the car when the time is 40
 s? A 0
 m  / s2 B 04315−m  / s2 C 0415m  / s2 D (15 – 3)  m  / s2     © UCLES 2016 0625/21/M/J/16 [Turn over",0625_s16_qp_21
0625_s16_qp_21_03,"3  Two runners take part in a race. 
 
",49.60629,87.8753171840001,3,3,"Two runners take part in a race.  The graph shows how the speed of each runner changes with time.  
00speed
timerunner 1runner 2t  What does the graph show about the runners at time t
 ? A Both runners are moving at the same speed. B Runner 1 has zero acceleration. C Runner 1 is overtaking runner 2. D Runner 2 is slowing down. ",0625_s16_qp_21
0625_s16_qp_21_04,"4  A satellite orbits the Earth above the atmosphere at a constant speed. 
 
",49.60666633599999,414.6538488159999,4,3,"A satellite orbits the Earth above the atmosphere at a constant speed.  The diagram shows the satellite at one point in its circular orbit around the Earth.  Which labelled arrow shows the direction of the resultant force on the satellite at the position shown?  
Earthdirection of rotationof satelliteABCD
satellite
     © UCLES 2016 0625/21/M/J/16",0625_s16_qp_21
0625_s16_qp_21_05,"5  A cup contains hot liquid. 
 
",49.60629,87.8753171840001,5,4,"A cup contains hot liquid.  Some of the liquid evaporates.  What happens to the mass and what happens to the weight of the liquid in the cup?   mass weight 
A decreases decreases 
B decreases stays the same 
C stays the same decreases 
D stays the same stays the same 
",0625_s16_qp_21
0625_s16_qp_21_06,"6  The diagrams show three uniform beams P, Q and R, each pivoted at its centre. 
 
",49.60629,293.8978487520002,6,4,"The diagrams show three uniform beams P, Q and R, each pivoted at its centre.  The two forces acting on each beam are also shown.  
4.0  N2.0 m 1.0  m4.0
 NP
2.0  N4.0 m 2.0  m5.0
 NQ
1.5  N2.0 m 4.0  m1.0
 NR  Which beams rotate clockwise? A P and Q only B P and R only C Q and R only D P, Q and R     © UCLES 2016 0625/21/M/J/16 [Turn over",0625_s16_qp_21
0625_s16_qp_21_07,"7  An object of mass 50 kg accelerates from a velocity of 2.0 m / s to a velocity of 10 m / s in the same 
",49.60629,75.23254640000005,7,5,"An object of mass 50  kg accelerates from a velocity of 2.0  m  / s to a velocity of 10  m  / s in the same direction.  What is the impulse provided to cause this acceleration? A 250
 N  s B 400  N  s C 850  N  s D 2500  N  s ",0625_s16_qp_21
0625_s16_qp_21_08,"8  A scalar quantity has 
",49.60753735999998,174.7576587520001,8,5,A scalar quantity has A magnitude and direction. B no magnitude and no direction. C magnitude but no direction. D direction but no magnitude. ,0625_s16_qp_21
0625_s16_qp_21_09,"9  Energy is released in some nuclear reactions. 
 
",49.607757327999984,313.96902688000023,9,5,"Energy is released in some nuclear reactions.  Which nuclear reaction takes place in a nuclear power station, and which nuclear reaction takes place in the Sun?   nuclear power station the Sun 
A fission fission 
B fission fusion 
C fusion fission 
D fusion fusion 
",0625_s16_qp_21
0625_s16_qp_21_10,"10  A lorry of mass 4000 kg is travelling at a speed of 4.0 m / s. 
 
",49.60629,522.0013171840001,10,5,"A lorry of mass 4000
 kg is travelling at a speed of 4.0  m  / s.  A car has a mass of 1000
 kg. The kinetic energy of the car is equal to the kinetic energy of the lorry.  What is the speed of the car? A 2.0
 m  / s B 4.0  m  / s C 8.0  m  / s D 16.0  m  / s     © UCLES 2016 0625/21/M/J/16",0625_s16_qp_21
0625_s16_qp_21_11,"11  A force acts on an object and causes the object to move a certain distance, in the same direction 
",49.60629,75.23254640000005,11,6,"A force acts on an object and causes the object to move a certain distance, in the same direction as the force.  Which row represents a situation in which the largest amount of work is done on the object by the force?   force
 / N distance moved  / m 
A 2.0 40.0 
B 10.0 2.0 
C 20.0 6.0 
D 100.0 1.0 
",0625_s16_qp_21
0625_s16_qp_21_12,"12  A diver under water uses breathing apparatus at a depth where the pressure is 1.25 × 105
 
",49.60629,295.22919488,12,6,"A diver under water uses breathing apparatus at a depth where the pressure is 1.25 × 10
5
 Pa.  
  A bubble of gas breathed out by the diver has a volume of 20
 cm3 when it is released. The bubble moves upwards to the surface of the water.  At the surface of the water, the atmospheric pressure is 1.00 × 10
5
 Pa.  The temperature of the water is the same at all depths.  What is the volume of this bubble when it reaches the surface? A 15
 cm3 B 16  cm3 C 20  cm3 D 25  cm3     © UCLES 2016 0625/21/M/J/16 [Turn over",0625_s16_qp_21
0625_s16_qp_21_13,"13  The diagram shows a simple mercury barometer. 
 
",49.60629,87.8753171840001,13,7,"The diagram shows a simple mercury barometer.  
VW
XYZmercury
  The atmospheric pressure increases.  Which distance increases? A VW B WY C XY D XZ ",0625_s16_qp_21
0625_s16_qp_21_14,"14  Which statement about evaporation is correct? 
",49.60651203200001,394.0750126400002,14,7,"Which statement about evaporation is correct? A Evaporation causes the temperature of the remaining liquid to decrease. B Evaporation does not occur from a cold liquid near its freezing point. C Evaporation does not occur from a dense liquid, such as mercury. D Evaporation occurs from all parts of a liquid. ",0625_s16_qp_21
