text,x_corr,y_corr,question_file
"*
1
7
4
3
6
3
5
0
0
4
*
",28.82829,336.79261245399994,0625_m15_qp_12
"Cambridge International Examinations 
Cambridge International General Certificate of Secondary Education 
",128.721490064,109.95750952000003,0625_m15_qp_12
" 
",112.70551,127.64513639999996,0625_m15_qp_12
" 
",56.69296846399999,150.40742504000002,0625_m15_qp_12
"PHYSICS 
 
Paper 1  Multiple Choice 
",56.69276484700009,187.49198230000002,0625_m15_qp_12
" 
",56.6929,204.72669229999997,0625_m15_qp_12
"Additional Materials: 
 
 
 
",56.6929,257.6986564,0625_m15_qp_12
"Multiple Choice Answer Sheet 
Soft clean eraser 
Soft pencil (type B or HB recommended) 
",170.06027648,244.97807585700002,0625_m15_qp_12
"0625/12 
",498.86929,170.30014319999998,0625_m15_qp_12
"February/March 2015 
",438.57833635,185.28058999999996,0625_m15_qp_12
"45 minutes 
",486.39644279,202.51530000000002,0625_m15_qp_12
" 
",552.7549035039999,150.40742504000002,0625_m15_qp_12
" 
",552.75483504,257.6986564,0625_m15_qp_12
"READ THESE INSTRUCTIONS FIRST 
",56.6929,274.17508999999995,0625_m15_qp_12
" 
Write in soft pencil. 
Do not use staples, paper clips, glue or correction fluid. 
Write  your  name,  Centre  number  and  candidate  number  on  the  Answer  Sheet  in  the  spaces  provided 
unless this has been done for you. 
DO NOT WRITE IN ANY BARCODES. 
 
There are forty questions on this paper. Answer all questions. For each question there are four possible 
answers A, B, C and D.  
Choose the one you consider correct and record your choice in soft pencil on the separate Answer Sheet. 
 
Read the instructions on the Answer Sheet very carefully. 
",56.69209949599997,422.54060142299977,0625_m15_qp_12
" 
Each correct answer will score one mark. A mark will not be deducted for a wrong answer. 
Any rough working should be done in this booklet. 
Electronic calculators may be used. 
 
 
",56.69209949599997,499.75721726299963,0625_m15_qp_12
"The syllabus is approved for use in England, Wales and Northern Ireland as a Cambridge International Level1/Level 2 Certificate. 
",97.82359,726.0696551999999,0625_m15_qp_12
"This document consists of 17 printed pages and 3 blank pages. 
",157.5213,748.0715023,0625_m15_qp_12
"IB15 03_0625_12/5RP 
© UCLES 2015 
",56.6929,781.29286193,0625_m15_qp_12
" 
",56.6929,783.95796,0625_m15_qp_12
" 
",56.6929,785.1201599999999,0625_m15_qp_12
"[Turn over 
",489.14639,783.0793923,0625_m15_qp_12
"1  A student uses a measuring cylinder to measure the volume of some water. The diagram shows 
",49.60629,75.23254640000005,0625_m15_qp_12
"part of the measuring cylinder. The top and bottom of the meniscus are labelled. 
",70.8661972,87.8753171840001,0625_m15_qp_12
"2 
",294.66141,48.87034640000002,0625_m15_qp_12
" 
",49.60629,100.51808796800015,0625_m15_qp_12
" 
",49.60649625599996,242.16424544000006,0625_m15_qp_12
"top of 
meniscus
",228.2173,158.07028200000002,0625_m15_qp_12
"bottom
of meniscus
",228.2173,202.89582041999995,0625_m15_qp_12
"cm3
",308.22369,116.75228200000004,0625_m15_qp_12
"50
",329.7204,123.16958199999999,0625_m15_qp_12
"45
",329.7204,174.16070920000004,0625_m15_qp_12
"40
",329.7204,225.1518364000001,0625_m15_qp_12
" 
",367.2283,231.84664640000005,0625_m15_qp_12
"What is the volume of the water? 
",70.86640345599996,254.8070162240001,0625_m15_qp_12
"A  47.0 cm3 
",70.86640345599996,278.4766728640001,0625_m15_qp_12
