question_id,text,x_corr,y_corr,question_number,question_text,question_file,question_page,category,text_new,duplicate
0625_m15_qp_12_01,"1  A student uses a measuring cylinder to measure the volume of some water. The diagram shows 
",49.60629,75.2325464,1,A student uses a measuring cylinder to measure the volume of some water  The diagram shows part of the measuring cylinder  The top and bottom of the meniscus are labelled           top of meniscusbottomof meniscuscm    What is the volume of the water? A       cm  B       cm  C       cm  D       cm  ,0625_m15_qp_12,2,110,"Astudentusesameasuringcylindertomeasurethevolumeofsomewater.Thediagramshows
",0
0625_m15_qp_12_02,"2  The graph represents the motion of a train travelling between two stations. 
 
",49.60732576,329.0477395,2,The graph represents the motion of a train travelling between two stations                                             speedm  / s time  / s  Which statement about the train is correct? A Its acceleration takes a longer time than its deceleration  B It travels at constant speed for less than half of its journey time  C It travels       m in the first      s  D It travels          m at constant speed      © UCLES          /  /F/M/   [Turn over,0625_m15_qp_12,2,120,"Thegraphrepresentsthemotionofatraintravellingbetweentwostations.

",0
0625_m15_qp_12_03,"3  A car travels 6.0 km along a main road in 6.0 minutes. It then travels 2.0 km along a minor road in 
",49.60629,75.2325464,3,A car travels      km along a main road in     minutes  It then travels      km along a minor road in     minutes    mainroadminorroad     km    minutes     km    minutes   Which calculation of average speed for the whole journey is correct? A     ÷      =       km  / minute B      ÷     =      km  / minute C     +      =     km  / minute D     ×      =     km  / minute ,0625_m15_qp_12,3,120,"Acartravels.kmalongamainroadin.minutes.Itthentravels.kmalongaminorroadin
",0
0625_m15_qp_12_04,"4  Two metal blocks P and Q have identical dimensions. They hang on identical spring balances. 
 
",49.60603616,374.4866931,4,"Two metal blocks P and Q have identical dimensions  They hang on identical spring balances                N            N P Q  What can be deduced about P and Q? A They have different volumes and different weights  B They have different volumes, but equal masses  C They have equal volumes and equal weights  D They have equal volumes, but different masses      © UCLES          /  /F/M/  ",0625_m15_qp_12,3,151,"TwometalblocksPandQhaveidenticaldimensions.Theyhangonidenticalspringbalances.

",0
0625_m15_qp_12_05,"5  A person measures the length, width, height and mass of a metal block with rectangular sides. 
 
",49.60629,87.87531718,5,"A person measures the length, width, height and mass of a metal block with rectangular sides   Which of these measurements must be used in order to calculate the density of the metal? A mass only B height and mass only C length, width and height only D length, width, height and mass ",0625_m15_qp_12,4,110,"Apersonmeasuresthelength,width,heightandmassofametalblockwithrectangularsides.

",0
0625_m15_qp_12_06,"6  The diagram shows the only three forces acting on an object. 
 
",49.60629,239.7009702,6,The diagram shows the only three forces acting on an object         N     N     N  What is the resultant force on the object? A    N B      N towards the left C      N towards the right D       N towards the right ,0625_m15_qp_12,4,152,"Thediagramshowstheonlythreeforcesactingonanobject.

",0
0625_m15_qp_12_07,"7  A uniform rod rests on a pivot at its centre. The rod is not attached to the pivot. Forces are then 
",49.60651576,431.5483446,7,"A uniform rod rests on a pivot at its centre  The rod is not attached to the pivot  Forces are then applied to the rod in four different ways, as shown  The weight of the rod can be ignored   Which diagram shows the rod in equilibrium?   A      N      NB      N      N C     N      N D      N      N    N      © UCLES          /  /F/M/   [Turn over",0625_m15_qp_12,4,152,"Auniformrodrestsonapivotatitscentre.Therodisnotattachedtothepivot.Forcesarethen
",0
0625_m15_qp_12_08,"8  A  helicopter  takes  off  from  the  ground  and  rises  vertically.  It  then  hovers  at  a  constant  height 
",49.60629,75.2325464,8,A helicopter takes off from the ground and rises vertically  It then hovers at a constant height above the ground   Which sequence of energy changes takes place during the gain in height? A chemical → gravitational potential → kinetic B chemical → kinetic → gravitational potential C gravitational potential → chemical → kinetic D kinetic → chemical → gravitational potential ,0625_m15_qp_12,5,170,"Ahelicoptertakesofffromthegroundandrisesvertically.Itthenhoversataconstantheight
",0
0625_m15_qp_12_09,"9  Four people of equal weight on a beach use different routes to get to the top of a sea wall. 
 
",49.60607003,255.6587688,9,"Four people of equal weight on a beach use different routes to get to the top of a sea wall    beachslipway laddersea wall   Which person produces the greatest average power?  person route time taken  / s  A runs across the beach, then climbs the ladder  B walks across the beach, then climbs the ladder   C runs up the slipway  D walks up the slipway  ",0625_m15_qp_12,5,170,"Fourpeopleofequalweightonabeachusedifferentroutestogettothetopofaseawall.

",0
0625_m15_qp_12_10,"10  A vehicle sinks into soft ground. 
 
 
 
",49.60629,619.8543862,10,A vehicle sinks into soft ground    The vehicle is changed so that it does not sink as far   Which change is made? A a lower centre of mass B a more powerful engine C wheels that are further apart D wider tyres     © UCLES          /  /F/M/  ,0625_m15_qp_12,5,152,"Avehiclesinksintosoftground.



",0
