question_id,answer,question_file
0625_m15_qp_12_01,A,0625_m15_ms_12
0625_m15_qp_12_02,B,0625_m15_ms_12
0625_m15_qp_12_03,A,0625_m15_ms_12
0625_m15_qp_12_04,D,0625_m15_ms_12
0625_m15_qp_12_05,D,0625_m15_ms_12
0625_m15_qp_12_06,A,0625_m15_ms_12
0625_m15_qp_12_07,A,0625_m15_ms_12
0625_m15_qp_12_08,B,0625_m15_ms_12
0625_m15_qp_12_09,C,0625_m15_ms_12
0625_m15_qp_12_10,D,0625_m15_ms_12
0625_m15_qp_12_11,B,0625_m15_ms_12
0625_m15_qp_12_12,A,0625_m15_ms_12
0625_m15_qp_12_13,D,0625_m15_ms_12
0625_m15_qp_12_14,D,0625_m15_ms_12
0625_m15_qp_12_15,C,0625_m15_ms_12
0625_m15_qp_12_16,D,0625_m15_ms_12
0625_m15_qp_12_17,D,0625_m15_ms_12
0625_m15_qp_12_18,C,0625_m15_ms_12
0625_m15_qp_12_19,A,0625_m15_ms_12
0625_m15_qp_12_20,B,0625_m15_ms_12
0625_m15_qp_12_21,B,0625_m15_ms_12
0625_m15_qp_12_22,C,0625_m15_ms_12
0625_m15_qp_12_23,B,0625_m15_ms_12
0625_m15_qp_12_24,C,0625_m15_ms_12
0625_m15_qp_12_25,D,0625_m15_ms_12
0625_m15_qp_12_26,B,0625_m15_ms_12
0625_m15_qp_12_27,B,0625_m15_ms_12
0625_m15_qp_12_28,B,0625_m15_ms_12
0625_m15_qp_12_29,C,0625_m15_ms_12
0625_m15_qp_12_30,A,0625_m15_ms_12
0625_m15_qp_12_31,A,0625_m15_ms_12
0625_m15_qp_12_32,B,0625_m15_ms_12
0625_m15_qp_12_33,A,0625_m15_ms_12
0625_m15_qp_12_34,D,0625_m15_ms_12
0625_m15_qp_12_35,C,0625_m15_ms_12
0625_m15_qp_12_36,C,0625_m15_ms_12
0625_m15_qp_12_37,C,0625_m15_ms_12
0625_m15_qp_12_38,B,0625_m15_ms_12
0625_m15_qp_12_39,B,0625_m15_ms_12
0625_m15_qp_12_40,A,0625_m15_ms_12
0625_m16_qp_22_01,C,0625_m16_ms_22
0625_m16_qp_22_02,C,0625_m16_ms_22
0625_m16_qp_22_03,D,0625_m16_ms_22
0625_m16_qp_22_04,C,0625_m16_ms_22
0625_m16_qp_22_05,D,0625_m16_ms_22
0625_m16_qp_22_06,B,0625_m16_ms_22
0625_m16_qp_22_07,A,0625_m16_ms_22
0625_m16_qp_22_08,C,0625_m16_ms_22
0625_m16_qp_22_09,C,0625_m16_ms_22
0625_m16_qp_22_10,D,0625_m16_ms_22
0625_m16_qp_22_11,C,0625_m16_ms_22
0625_m16_qp_22_12,A,0625_m16_ms_22
0625_m16_qp_22_13,D,0625_m16_ms_22
0625_m16_qp_22_14,B,0625_m16_ms_22
0625_m16_qp_22_15,B,0625_m16_ms_22
0625_m16_qp_22_16,C,0625_m16_ms_22
0625_m16_qp_22_17,C,0625_m16_ms_22
0625_m16_qp_22_18,B,0625_m16_ms_22
0625_m16_qp_22_19,B,0625_m16_ms_22
0625_m16_qp_22_20,B,0625_m16_ms_22
0625_m16_qp_22_21,B,0625_m16_ms_22
0625_m16_qp_22_22,D,0625_m16_ms_22
0625_m16_qp_22_23,B,0625_m16_ms_22
0625_m16_qp_22_24,D,0625_m16_ms_22
0625_m16_qp_22_25,D,0625_m16_ms_22
0625_m16_qp_22_26,C,0625_m16_ms_22
0625_m16_qp_22_27,A,0625_m16_ms_22
0625_m16_qp_22_28,A,0625_m16_ms_22
0625_m16_qp_22_29,B,0625_m16_ms_22
0625_m16_qp_22_30,B,0625_m16_ms_22
0625_m16_qp_22_31,C,0625_m16_ms_22
0625_m16_qp_22_32,A,0625_m16_ms_22
0625_m16_qp_22_33,B,0625_m16_ms_22
0625_m16_qp_22_34,C,0625_m16_ms_22
0625_m16_qp_22_35,C,0625_m16_ms_22
0625_m16_qp_22_36,B,0625_m16_ms_22
0625_m16_qp_22_37,D,0625_m16_ms_22
0625_m16_qp_22_38,C,0625_m16_ms_22
0625_m16_qp_22_39,A,0625_m16_ms_22
0625_m16_qp_22_40,A,0625_m16_ms_22
0625_m17_qp_22_01,B,0625_m17_ms_22
0625_m17_qp_22_02,D,0625_m17_ms_22
0625_m17_qp_22_03,B,0625_m17_ms_22
0625_m17_qp_22_04,B,0625_m17_ms_22
0625_m17_qp_22_05,B,0625_m17_ms_22
0625_m17_qp_22_06,A,0625_m17_ms_22
0625_m17_qp_22_07,C,0625_m17_ms_22
0625_m17_qp_22_08,C,0625_m17_ms_22
0625_m17_qp_22_09,C,0625_m17_ms_22
0625_m17_qp_22_10,B,0625_m17_ms_22
0625_m17_qp_22_11,D,0625_m17_ms_22
0625_m17_qp_22_12,B,0625_m17_ms_22
0625_m17_qp_22_13,B,0625_m17_ms_22
0625_m17_qp_22_14,C,0625_m17_ms_22
0625_m17_qp_22_15,A,0625_m17_ms_22
0625_m17_qp_22_16,C,0625_m17_ms_22
0625_m17_qp_22_17,C,0625_m17_ms_22
0625_m17_qp_22_18,A,0625_m17_ms_22
0625_m17_qp_22_19,C,0625_m17_ms_22
0625_m17_qp_22_20,D,0625_m17_ms_22
0625_m17_qp_22_21,D,0625_m17_ms_22
0625_m17_qp_22_22,B,0625_m17_ms_22
0625_m17_qp_22_23,B,0625_m17_ms_22
0625_m17_qp_22_24,A,0625_m17_ms_22
0625_m17_qp_22_25,C,0625_m17_ms_22
0625_m17_qp_22_26,B,0625_m17_ms_22
0625_m17_qp_22_27,A,0625_m17_ms_22
0625_m17_qp_22_28,C,0625_m17_ms_22
0625_m17_qp_22_29,A,0625_m17_ms_22
0625_m17_qp_22_30,A,0625_m17_ms_22
0625_m17_qp_22_31,B,0625_m17_ms_22
0625_m17_qp_22_32,A,0625_m17_ms_22
0625_m17_qp_22_33,B,0625_m17_ms_22
0625_m17_qp_22_34,B,0625_m17_ms_22
0625_m17_qp_22_35,A,0625_m17_ms_22
0625_m17_qp_22_36,D,0625_m17_ms_22
0625_m17_qp_22_37,D,0625_m17_ms_22
0625_m17_qp_22_38,C,0625_m17_ms_22
0625_m17_qp_22_39,C,0625_m17_ms_22
0625_m17_qp_22_40,A,0625_m17_ms_22
0625_s13_qp_11_01,B,0625_s13_ms_11
0625_s13_qp_11_02,A,0625_s13_ms_11
0625_s13_qp_11_03,B,0625_s13_ms_11
0625_s13_qp_11_04,B,0625_s13_ms_11
0625_s13_qp_11_05,D,0625_s13_ms_11
0625_s13_qp_11_06,A,0625_s13_ms_11
0625_s13_qp_11_07,B,0625_s13_ms_11
0625_s13_qp_11_08,C,0625_s13_ms_11
0625_s13_qp_11_09,C,0625_s13_ms_11
0625_s13_qp_11_10,C,0625_s13_ms_11
0625_s13_qp_11_11,D,0625_s13_ms_11
0625_s13_qp_11_12,B,0625_s13_ms_11
0625_s13_qp_11_13,D,0625_s13_ms_11
0625_s13_qp_11_14,B,0625_s13_ms_11
0625_s13_qp_11_15,A,0625_s13_ms_11
0625_s13_qp_11_16,C,0625_s13_ms_11
0625_s13_qp_11_17,D,0625_s13_ms_11
0625_s13_qp_11_18,C,0625_s13_ms_11
