text,x_corr,y_corr
"Cambridge International Examinations 
Cambridge International General Certificate of Secondary Education 
",128.721490064,109.95750952000003
" 
",112.70551,127.64513639999996
" 
",56.69296846399999,150.40742504000002
"PHYSICS 
 
Paper 2  Multiple Choice (Extended) 
",56.69276484700009,187.49198230000002
" 
",56.6929,204.72669229999997
"Additional Materials: 
 
 
 
",56.6929,257.6986564
"Multiple Choice Answer Sheet 
Soft clean eraser 
Soft pencil (type B or HB recommended) 
",170.06027648,244.97807585700002
"0625/21 
",498.86929,170.30014319999998
"May/June 2016 
",468.05889741,185.28058999999996
"45 minutes 
",486.39644279,202.51530000000002
" 
",552.7549035039999,150.40742504000002
" 
",552.75483504,257.6986564
"READ THESE INSTRUCTIONS FIRST 
",56.6929,274.17508999999995
" 
Write in soft pencil. 
Do not use staples, paper clips, glue or correction fluid. 
Write  your  name,  Centre  number  and  candidate  number  on  the  Answer  Sheet  in  the  spaces  provided 
unless this has been done for you. 
DO NOT WRITE IN ANY BARCODES. 
 
There are forty questions on this paper. Answer all questions. For each question there are four possible 
answers A, B, C and D.  
Choose the one you consider correct and record your choice in soft pencil on the separate Answer Sheet. 
 
Read the instructions on the Answer Sheet very carefully. 
",56.69219955899996,422.54060142299977
"*
9
1
7
0
5
3
1
7
2
8
*
",28.82829,336.79261245399994
" 
Each correct answer will score one mark. A mark will not be deducted for a wrong answer. 
Any rough working should be done in this booklet. 
Electronic calculators may be used. 
Take the weight of 1.0 kg to be 10 N (acceleration of free fall = 10 m / s
 
",56.69219955899996,500.74828722
"). 
",367.71021,487.2557923
"2
",364.1102,480.0554
"The syllabus is approved for use in England, Wales and Northern Ireland as a Cambridge International Level 1/Level 2 Certificate. 
",96.8598,726.0696551999999
"This document consists of 18 printed pages and 2 blank pages. 
",157.5213,748.0715023
"IB16 06_0625_21/2RP 
© UCLES 2016 
",56.6929,781.29286193
" 
",56.6929,783.95796
" 
",56.6929,785.1201599999999
"[Turn over 
",489.14639,783.0793923
"1  The diagram shows an enlarged drawing of the end of a metre rule. It is being used to measure 
",49.60629,75.23254640000005
"the length of a small feather. 
",70.8661972,87.8753171840001
"2 
",294.66141,48.87034640000002
" 
",49.60629,100.51808796800015
" 
",49.60782601599999,263.16905543999997
"mm
cm
",84.92892239899999,217.14364910000006
"1 0
1
",193.50022139100003,221.13965300000007
"2 0
2
",318.010303351,221.98474299999998
"3 0
3
",442.52038531100004,221.29305802
" 
",515.2252,252.85145639999996
"What is the length of the feather? 
",70.86773321599999,275.811826224
"A  19 mm 
",70.86773321599999,299.452997008
"B  29 mm 
",170.106735696,299.4529364
"C  19 cm 
",269.34755984000003,299.4529364
"D  29 cm 
",368.559973984,299.4529364
" 
 
2  The speed-time graph shown is for a car moving in a straight line. 
 
",49.606992799999944,350.05250539200006
"speed
m / s
",143.10617251499997,402.026908
"15
",179.1246,373.41490799999997
"10
",179.1246,430.08100771999995
"5
",185.24196569999998,486.7471074399999
"0
",185.24196569999998,543.41320716
"0
",196.77499279999998,555.502979292
"20
",250.45768143499998,555.502979292
"40
",307.196963205,555.502979292
"60
",363.936244975,555.502979292
"80
time / s
",403.44230704999995,574.577708
" 
",455.24409,578.3821564
"What is the acceleration of the car when the time is 40 s? 
",70.86771742399999,601.3427364
"A  0 m / s2 
",70.86695151999999,628.6970464
"B 
",170.10655264000002,628.6970464
"3
",215.57519959089998,620.7954148851
"15 − m / s2 
",193.15253218389998,628.6970464
"04
",201.7983042709,634.54359
"C 
",269.34755336,628.6970464
"15
",292.93161272,620.7954148851
"04
",293.442194144,634.54359
"m / s2 
",308.60789,628.6970464
"D 
",368.56096592,628.6970464
"(15 – 3) m / s2 
",389.78897775999997,628.6970464
" 
",49.60781022399999,588.69975544
" 
 
",49.60750233599998,663.6489717439999
"© UCLES 2016 
",49.60629,804.11211
"0625/21/M/J/16 
",270.12609378999997,804.11211
" 
",545.681243088,804.11211
"3  Two runners take part in a race. 
 
",49.60629,87.8753171840001
"The graph shows how the speed of each runner changes with time. 
",70.894683056,100.51808796800015
"3 
",294.66141,48.87034640000002
" 
",49.60629,113.1608587520002
" 
",49.60659625599999,262.82904127999996
"speed
",200.6936168,139.2860776
"runner 1
",343.92519500599997,133.28688680000005
"runner 2
",353.42358596599996,160.78088680000008
"0
",224.9400305,237.76408679999997
"0
",233.8214,248.26129600000002
"t
",302.16769,243.05349999999999
"time
",340.4253305,248.7616868
" 
",394.7244,252.48284639999997
"What does the graph show about the runners at time t
",70.89498931199999,275.471812064
" ? 
",333.1843,275.47195639999995
"A  Both runners are moving at the same speed. 
",70.86668351999998,299.08442135999996
"B  Runner 1 has zero acceleration. 
",70.86668351999998,320.7413707999999
"C  Runner 1 is overtaking runner 2. 
",70.86668351999998,342.3698343839999
"D  Runner 2 is slowing down. 
",70.89527935999999,364.0542798239999
" 
 
4  A satellite orbits the Earth above the atmosphere at a constant speed. 
 
",49.60666633599999,414.6538488159999
"The diagram shows the satellite at one point in its circular orbit around the Earth. 
",70.895059392,427.2966195999999
"Which  labelled  arrow  shows  the  direction  of  the  resultant  force  on  the  satellite  at  the  position 
shown? 
",70.895059392,465.2534178079999
"direction of rotation
",284.83569,490.013369
"of satellite
",306.845798064,503.21204900000004
"Earth
",253.1369,591.168869
"D
",314.509263216,582.50531888
"A
",348.834389744,542.03046677
"C
",353.16984904000003,618.501528899
"B
",388.12507390400003,578.004678989
"satellite
",381.0979,603.834569
" 
",418.7339,677.2262364000001
" 
",49.60666633599999,439.9678762399999
" 
",49.60666633599999,477.8961885919999
" 
 
",49.60669903999997,700.186606224
"© UCLES 2016 
",49.60629,803.48849
"0625/21/M/J/16 
",270.12609378999997,803.48849
"[Turn over 
",491.3008,803.48849
"5  A cup contains hot liquid. 
 
",49.60629,87.8753171840001
"Some of the liquid evaporates. 
",70.894683056,100.51808796800015
"4 
",294.66141,48.87034640000002
" 
",49.60629,113.1608587520002
" 
",49.60629,138.47488617600027
"What happens to the mass and what happens to the weight of the liquid in the cup? 
",70.8661972,125.80362953600024
" 
",85.06733128,154.9724861760003
"A 
",81.0992,175.50109999999995
"B 
",81.0992,196.50580000000002
"C 
",81.0992,217.51059999999995
"D 
",81.0992,238.48689000000002
"mass 
",142.37999368,154.9724861760003
"weight 
",252.16602248000004,154.9724861760003
"decreases 
",130.13886592,177.93174639999995
"decreases 
",242.7316864,177.93174639999995
"decreases 
",130.13886592,198.93644640000002
"stays the same 
",231.082291104,198.93644640000002
"stays the same 
",118.54435264,219.94124639999995
"decreases 
",242.71276915200002,219.94124639999995
"stays the same 
",118.54435264,240.91753640000002
"stays the same 
",231.098458752,240.91753640000002
" 
 
6  The diagrams show three uniform beams P, Q and R, each pivoted at its centre. 
 
",49.60629,293.8978487520002
"The two forces acting on each beam are also shown. 
",70.8661972,306.5691053920002
"P
",161.1505968991,350.58283272
"Q
",159.73275623800004,438.54093272
"R
",160.34565895499998,526.49913272
"2.0 m 1.0 m
",262.127651521,334.834998
"4.0 N
",234.7486,390.808408
"4.0 m
",231.806803753,422.79308068
"4.0 N
",322.2256765561,390.80842531999997
"2.0 m
",318.20560246,422.793008
"2.0 N
",171.879,478.766508
"5.0 N
",346.973131507,478.766508
"4.0 m
",350.54598066,510.751308
"2.0 m
",259.5269792141,510.751308
"1.5 N
",229.74899,566.724708
"1.0 N
",410.4179978689,566.72473532
" 
",435.7417,570.5301463999999
"Which beams rotate clockwise? 
",70.89606617600002,593.51900208
"A  P and Q only 
",70.86758032000002,617.13146704
"B  P and R only 
",70.86758032,638.78841648
"C  Q and R only 
",70.86758032,660.416880064
"D  P, Q and R 
",70.89617616000001,682.101325504
" 
",49.60629,319.21187617600026
" 
",49.607673120000015,580.8477454399999
" 
 
",49.60756313600001,707.386867072
"© UCLES 2016 
",49.60629,804.11211
"0625/21/M/J/16 
",270.12609378999997,804.11211
" 
",545.681243088,804.11211
"5 
",294.66141,48.87034640000002
"7  An object of mass 50 kg accelerates from a velocity of 2.0 m / s to a velocity of 10 m / s in the same 
",49.60629,75.23254640000005
"direction. 
",70.86724223999994,87.8753171840001
" 
",49.60733503999994,100.51808796800015
"What is the impulse provided to cause this acceleration? 
",70.89572809599994,113.1608587520002
"A  250 N s 
",70.86724223999994,136.83051539200017
"B  400 N s 
",170.10722368,136.82934639999996
"C  850 N s 
",269.34792784,136.82934639999996
"D  2500 N s 
",368.560222,136.82934639999996
" 
 
8  A scalar quantity has 
",49.60753735999998,174.7576587520001
"A  magnitude and direction. 
",70.89615038399998,198.37012371200012
"B  no magnitude and no direction. 
",70.86766452799998,220.02707315200007
"C  magnitude but no direction. 
",70.86766452799998,241.68402259200002
"D  direction but no magnitude. 
",70.86766452799998,263.36945788800006
" 
 
9  Energy is released in some nuclear reactions. 
 
",49.607757327999984,313.96902688000023
"Which nuclear reaction takes place in a nuclear power station, and which nuclear reaction takes 
place in the Sun? 
",70.86766452799998,339.25456844800027
" 
",49.60775732799998,351.89733923200026
" 
",86.71305940799998,375.73637123200024
"A 
",82.7433,403.57671
"B 
",82.7433,424.58141
"C 
",82.7433,445.58611
"D 
",82.7433,466.5909
"nuclear power 
",117.38429748799997,369.41548076800024
"station 
",135.72412948799996,382.05825155200023
"fission 
",136.317496256,406.0073564
"fission 
",136.317496256,427.0120564
"fusion 
",137.22497424,448.0167564
"fusion 
",137.22497424,469.0215464
"the Sun 
",233.57579444799995,375.7373610880002
"fission 
",236.953956096,406.0073564
"fusion 
",237.86143408,427.0120564
"fission 
",236.954176064,448.0167564
"fusion 
",237.868803008,469.0215464
" 
 
10  A lorry of mass 4000 kg is travelling at a speed of 4.0 m / s. 
 
",49.60629,522.0013171840001
"A car has a mass of 1000 kg. The kinetic energy of the car is equal to the kinetic energy of the 
lorry. 
",70.866314144,547.286327184
"What is the speed of the car? 
",70.866314144,572.6003546080001
"A  2.0 m / s 
",70.866314144,596.2415253920001
"B  4.0 m / s 
",170.10722368,596.2404464
"C  8.0 m / s 
",269.34793784,596.2404464
"D  16.0 m / s 
",368.560232,596.2404464
" 
",49.606406944,559.957583824
" 
 
",49.60764735999999,621.525987968
"© UCLES 2016 
",49.60629,803.48849
"0625/21/M/J/16 
",270.12609378999997,803.48849
"[Turn over 
",491.3008,803.48849
"6 
",294.66141,48.87034640000002
"11  A force acts on an object and causes the object to move a certain distance, in the same direction 
",49.60629,75.23254640000005
"as the force. 
",70.8661972,87.8753171840001
" 
",49.60629,100.51808796800015
" 
",49.60629,138.47488617600027
"Which row represents a situation in which the largest amount of work is done on the object by the 
force? 
",70.8661972,125.80362953600024
" 
",85.06733128,155.22753907200024
"A 
",81.0992,175.98299999999995
"B 
",81.0992,196.98770000000002
"C 
",81.0992,217.99239999999998
"D 
",81.0992,238.99710000000005
"force / N 
",134.89657233600002,155.22753907200024
"distance moved / m 
",217.84228352000002,155.22614639999995
"2.0 
",149.18699488,178.41364639999995
"10.0 
",143.0641856,199.41834640000002
"20.0 
",143.0641856,220.42304639999998
"100.0 
",136.94137632,241.42774640000005
"40.0 
",252.9546992,178.41364639999995
"2.0 
",259.06870976000005,199.41834640000002
"6.0 
",259.06870976000005,220.42304639999998
"1.0 
",259.06486032,241.42774640000005
" 
 
12  A diver under water uses breathing apparatus at a depth where the pressure is 1.25 × 105
 
",49.60629,295.22919488
" Pa. 
",506.2961,282.5018464
"A bubble of gas breathed out by the diver has a volume of 20 cm3 when it is released. The bubble 
moves upwards to the surface of the water. 
",70.86656631999996,415.19180718399997
" 
",369.72279,379.5601464
"At the surface of the water, the atmospheric pressure is 1.00 × 105
",70.86698585600004,441.214241552
" Pa. 
",393.2504,441.2136464
"The temperature of the water is the same at all depths. 
",70.86722159999995,466.612471488
"What is the volume of this bubble when it reaches the surface? 
",70.86722159999995,491.89801305599997
"A  15 cm3 
",70.86722159999995,515.5676696959999
"B  16 cm3 
",170.10655264000002,515.5663463999999
"C  20 cm3 
",269.34835664,515.5663463999999
"D  25 cm3 
",368.56078078400003,515.5663463999999
" 
",49.60665911999996,389.87774544
" 
",49.60707865600004,427.83457796799996
" 
",49.60731439999995,453.969700704
" 
",49.60731439999995,479.255242272
" 
 
",49.606579776000046,540.851887968
"© UCLES 2016 
",49.60629,804.11211
"0625/21/M/J/16 
",270.12609378999997,804.11211
" 
",545.681243088,804.11211
"13  The diagram shows a simple mercury barometer. 
 
",49.60629,87.8753171840001
"7 
",294.66141,48.87034640000002
"mercury
",234.25557976,169.4698410620001
" 
",49.60673200000002,294.52024544000005
" 
",49.60673200000002,319.80578700800015
"The atmospheric pressure increases. 
",70.86663920000002,307.1630162240001
"Which distance increases? 
",70.86663920000002,332.4770436480002
"V
",349.63741,100.06130600000006
"W
",350.14853965599997,129.5915571260001
"X
Y
Z
",349.63741,280.45462392800016
" 
",361.2189,284.20264640000005
"A  VW 
",70.86663920000002,356.1182144320002
"B  WY 
",170.10630224000005,356.1182144320002
"C  XY 
",269.346955136,356.1182144320002
"D  XZ 
",368.559122176,356.1182144320002
" 
 
14  Which statement about evaporation is correct? 
",49.60651203200001,394.0750126400002
"A  Evaporation causes the temperature of the remaining liquid to decrease. 
",70.86641923200001,417.6874776000002
"B  Evaporation does not occur from a cold liquid near its freezing point. 
",70.866419232,439.3444270400002
"C  Evaporation does not occur from a dense liquid, such as mercury. 
",70.866419232,460.9728906240002
"D  Evaporation occurs from all parts of a liquid. 
",70.895015072,482.65733606400016
" 
 
15  A  beaker  contains  0.500 kg  of  water  at  a  temperature  of  3.0 °C.  The  beaker  is  heated,  and  the 
",49.60640204800001,520.6141342720002
"internal energy of the water increases by 21.0 kJ. 
",70.86653128,533.254817184
"The specific heat capacity of water is 4200 J / (kg °C). 
",70.86679792000002,558.540087968
"What is the temperature of the water after it has been heated? 
",70.86662134399997,583.853573824
"A  5.5 °C 
",70.86662134399997,607.494744608
"B  10.0 °C 
",170.10739096,607.4939363999999
"C  13.0 °C 
",269.348095856,607.4939363999999
"D  31.5 °C 
",368.5605,607.4939363999999
" 
",49.606890720000024,545.897317184
" 
",49.606714143999966,571.21080304
" 
 
",49.607418816000006,632.807963824
"© UCLES 2016 
",49.60629,803.48849
"0625/21/M/J/16 
",270.12609378999997,803.48849
"[Turn over 
",491.3008,803.48849
"16  A substance loses thermal energy (heat) to the surroundings at a steady rate. 
 
",49.60629,87.8753171840001
"The graph shows how the temperature of the substance changes with time. 
",70.894683056,100.51808796800015
"8 
",294.66141,48.87034640000002
" 
",49.60629,113.1608587520002
" 
",49.60765455999996,272.80683544
"temperature
",177.731698411,149.11342158200011
"P
",320.72099,165.35208899999998
"Q
",351.46897405,213.56695916
"0
",230.22809289999998,247.19106755000007
"0
",239.9183,258.6830990000001
"time
",370.716407461,257.0342040810001
" 
",417.7417,262.4892364
"What could the portion PQ of the graph represent? 
",70.89604761599996,285.47809208
"A  gas condensing 
",70.86756175999996,309.09055704
"B  gas cooling  
",70.86756175999994,330.74750647999997
"C 
",70.86756175999994,349.94532366399994
"D 
",70.89615759999995,371.62976910399993
"liquid cooling 
",92.09887311999995,352.37597006399994
"liquid solidifying 
",92.15606479999995,374.06041550399993
" 
 
17  A student wishes to check the upper and the lower fixed points on a Celsius scale thermometer. 
 
",49.60754457599995,424.65998449599994
"–10
",154.02160920389997,436.811146
"0
",184.14248459399997,436.811146
"10
",205.08609742189998,436.811146
"20
",229.08799102979998,436.811146
"30
",253.08988463769998,436.811146
"40
",277.0917782456,436.811146
"50
",301.0936718535,436.811146
"60
",325.0955654614,436.811146
"70
",349.0974590693,436.811146
"80
",373.0993526772,436.811146
"90
",397.1012462851,436.811146
"100
",418.042658911,436.811146
"110 °C
",442.4528,436.811146
" 
",479.2252,457.9947464
"She has four beakers P, Q, R and S. 
",70.89519209599995,480.955116224
"Beaker P contains a mixture of ice and salt. 
",113.41401663999994,506.211951968
"Beaker Q contains a mixture of ice and water. 
",113.41401663999994,527.868901408
"Beaker R contains boiling salt solution. 
",113.41401663999994,549.525850848
"Beaker S contains boiling water. 
",113.41401663999994,571.211286144
"Which two beakers should she use to check the fixed points? 
",70.89519209599995,596.4968277119999
"A  P and R 
",70.86670623999994,620.1379984959999
"B  P and S 
",170.10746911999996,620.1379984959999
"C  Q and R 
",269.34812201599993,620.1379984959999
"D  Q and S 
",368.56028905599993,620.1379984959999
" 
",49.60679903999994,468.31234544
" 
",49.60679903999994,493.597887008
" 
",49.60679903999994,583.854056928
" 
 
",49.60668905599994,645.45202592
"© UCLES 2016 
",49.60629,804.11211
"0625/21/M/J/16 
",270.12609378999997,804.11211
" 
",545.681243088,804.11211
"9 
",294.66141,48.87034640000002
"18  Two otherwise identical cars, one black and one white, are at the same initial temperature. The 
cars  are  left  in  bright  sunshine  and  their  temperatures  increase.  During  the  night  their 
temperatures decrease. 
",49.60629,100.51808796800015
" 
",49.60629,113.1608587520002
" 
",49.60629,151.11765696000032
"Which car shows the greater rate of temperature increase and which car shows the greater rate 
of temperature decrease? 
",70.8661972,138.47488617600027
" 
",85.06733128,182.04405792000034
"A 
",81.0992,217.00031
"B 
",81.0992,238.005
"C 
",81.0992,258.9814
"D 
",81.0992,279.98609999999996
"greater rate of 
temperature 
",112.50613960000001,182.04405792000034
"increase 
",126.282625456,194.6868287040004
